Epoch,Accuracy,Precision,Recall,F1 Score
1,73.09313318379037,0.6720875497155959,0.7309313318379037,0.6836459545893712
2,74.48015709772814,0.6915125037809854,0.7448015709772814,0.7027426717101674
3,76.06665787002181,0.7074280591737944,0.7606665787002181,0.7206014122602664
4,76.93597336168958,0.7263137293254356,0.7693597336168958,0.7314578122542446
5,77.39702104209195,0.7307761914760172,0.7739702104209194,0.7374083883726764
6,77.46842910033608,0.7954896412595565,0.7746842910033608,0.7394346064516941
7,77.58873615498653,0.7331695428022829,0.7758873615498654,0.7409645773422547
8,78.04279826447372,0.7366651620980165,0.7804279826447371,0.7453294019301494
9,78.18794290460039,0.7370600808442342,0.7818794290460038,0.7471698642122948
10,78.20734726825368,0.7385710106742039,0.7820734726825368,0.7474558073460356
11,78.3292066719964,0.7783562780481534,0.783292066719964,0.74807254682458
12,78.35637278111102,0.7583506216511837,0.7835637278111102,0.7482479287777647
13,78.31057848288923,0.7492611815354594,0.7831057848288924,0.7481936631701218
14,78.45261842483137,0.75853303631786,0.7845261842483138,0.749391500077605
15,78.38664358841017,0.7589344075531428,0.7838664358841017,0.7488407319151122
16,78.59543454131965,0.762380941715605,0.7859543454131965,0.7508452194044862
17,78.6427811886337,0.7676774338538659,0.786427811886337,0.7511103512434416
18,78.60707715951163,0.7686538029640634,0.7860707715951163,0.7510073190425854
19,78.66761877410993,0.7722055670374265,0.7866761877410993,0.7517019575191582
20,78.70875602505491,0.7730701108338245,0.7870875602505492,0.7520925655957713
21,78.73669830871566,0.7719416876369747,0.7873669830871567,0.7524358662297409
22,78.815091937875,0.7736023783528083,0.7881509193787499,0.753250828285677
23,78.84536274517413,0.7733036687937611,0.7884536274517413,0.7535904023635588
24,78.85157214154319,0.7720971302783798,0.7885157214154319,0.7536588422319836
25,78.87330502883488,0.7721454898531845,0.7887330502883488,0.7543917736699994
26,78.88805234521139,0.7728298835376184,0.7888805234521139,0.7549890913005615
27,78.9198755016028,0.7732775571886771,0.789198755016028,0.7552265568695096
28,78.96955067255524,0.777063829421439,0.7896955067255524,0.7558766371101312
29,79.07666275992145,0.7785537292469059,0.7907666275992146,0.757239858945044
30,79.13487585088134,0.7762519435351203,0.7913487585088135,0.7577389393549314
31,79.18455102183378,0.7782983007393203,0.7918455102183379,0.7588332686811673
32,79.25828760371633,0.7779188440393432,0.7925828760371633,0.7591693319413249
33,79.34056210560631,0.7782669971112459,0.793405621056063,0.7600341311820977
34,79.4228366074963,0.7781586044177164,0.7942283660749629,0.7608641910623504
35,79.44534566933412,0.7804055199767305,0.7944534566933412,0.7612677154082285
36,79.52141077485506,0.7799503831216978,0.7952141077485505,0.7625199077681075
37,79.56487654943844,0.7822116153258727,0.7956487654943843,0.7629281743172405
38,79.60213292765278,0.7829923644608888,0.7960213292765277,0.762939498448553
39,79.58272856399947,0.7854612935595977,0.7958272856399947,0.7627038209902857
40,79.62153729130607,0.7883251946949688,0.7962153729130607,0.763375617226515
41,79.6828550804505,0.7908347709997049,0.7968285508045049,0.7643256994202964
42,79.68363125499663,0.7923322420788244,0.7968363125499662,0.7640885025730119
43,79.70614031683445,0.7913835209851471,0.7970614031683445,0.7647033464296443
44,79.69216917500407,0.7911722873650168,0.7969216917500408,0.7651311632433105
45,79.71623058593417,0.7927848611391974,0.7971623058593417,0.7655446520508864
46,79.75892018597142,0.7947066228997041,0.7975892018597142,0.7660333099513827
47,79.73485877504133,0.7932159317472632,0.7973485877504133,0.7659203553678805
48,79.7728913278018,0.7950231436691515,0.797728913278018,0.7660012363996335
49,79.77754837507858,0.7946510505333498,0.7977754837507859,0.7666413933493822
50,79.80316213510095,0.7945357911667952,0.7980316213510095,0.7668028210980484
51,79.81558092783905,0.7953607958701931,0.7981558092783905,0.7668805528784569
52,79.80083361146255,0.7938962757331458,0.7980083361146254,0.76679307735315
53,79.85361348059952,0.7938520938711331,0.7985361348059952,0.767616197954909
54,79.95994939341959,0.7959942176821889,0.7995994939341959,0.7685080808712198
