Epoch,Accuracy,Precision,Recall,F1 Score,,,,,,,,,,,,Epoch,Accuracy,Precision,Recall,F1 Score
46,79.75814401,0.786289459,0.79758144,0.767643956,,,,,,,,,,,,,,,,
47,79.83110442,0.785781938,0.798311044,0.768576849,,,,,,,,,,,,,,,,
48,79.77289133,0.786332422,0.797728913,0.768118391,,,,,,,,,,,,,,,,
49,79.77521985,0.784355928,0.797752199,0.768319804,,,,,,,,,,,,,,,,
50,79.80160979,0.785170783,0.798016098,0.768728391,,,,,,,,,,,,,,,,
51,79.79074334,0.785326564,0.797907433,0.768621019,,,,,,,,,,,,,,,,
52,79.80937153,0.785234335,0.798093715,0.76903391,,,,,,,,,,,,,,,,
53,79.87457019,0.78534017,0.798745702,0.769769277,,,,,,,,,,,,,,,,
54,79.83886616,0.784925898,0.798388662,0.769205673,,,,,,,,,,,,,,,,
55,79.84895643,0.785350329,0.798489564,0.769258465,,,,,,,,,,,,,,,,
56,79.92735006,0.786648748,0.799273501,0.77000625,,,,,,,,,,,,,,,,
57,79.93588798,0.786557936,0.79935888,0.77059199,,,,,,,,,,,,,,,,
58,79.89086986,0.786190463,0.798908699,0.769711182,,,,,,,,,,,,,,,,
59,79.92269302,0.786525024,0.79922693,0.770101083,,,,,,,,,,,,,,,,
60,79.90716952,0.786223308,0.799071695,0.770393394,,,,,,,,,,,,,,,,
61,79.9568447,0.787708031,0.799568447,0.770895057,,,,,,,,,,,,,,,,
62,79.97547288,0.787845151,0.799754729,0.770808331,,,,,,,,,,,,,,,,
63,80.01272926,0.789023659,0.800127293,0.771630771,,,,,,,,,,,,,,,,
64,80.06162826,0.790147149,0.800616283,0.771875868,,,,,,,,,,,,,,,,
65,79.9964296,0.788480823,0.799964296,0.771228128,,,,,,,,,,,,,,,,
66,80.08568967,0.78977628,0.800856897,0.772275288,,,,,,,,,,,,,,,,
67,79.97547288,0.788385857,0.799754729,0.771209059,,,,,,,,,,,,,,,,
68,80.06085208,0.790606809,0.800608521,0.772289209,,,,,,,,,,,,,,,,
69,80.04455242,0.790895911,0.800445524,0.772236031,,,,,,,,,,,,,,,,
