Epoch,Accuracy,Precision,Recall,F1 Score,,Accuracy,Accuracy,epoch,loss
67,79.83964234,0.790894138,0.798396423,0.769439003,,79.83964234,0.798396423,,
68,79.85671818,0.791459355,0.798567182,0.76983326,,79.85671818,0.798567182,,
69,79.92502154,0.793149885,0.799250215,0.770962517,,79.92502154,0.799250215,,
70,79.93045476,0.792461086,0.799304548,0.77064155,,79.93045476,0.799304548,,
71,79.95917322,0.792718091,0.799591732,0.771161011,,79.95917322,0.799591732,,
72,79.96150174,0.793114875,0.799615017,0.771364166,,79.96150174,0.799615017,,
73,79.94830678,0.793602017,0.799483068,0.769759797,,79.94830678,0.799483068,,
74,80.06162826,0.795264781,0.800616283,0.772308988,,80.06162826,0.800616283,,
75,79.97624906,0.792128008,0.799762491,0.772138578,,79.97624906,0.799762491,,
76,79.98090611,0.792352531,0.799809061,0.771679118,,79.98090611,0.799809061,,
77,80.00419134,0.792609386,0.800041913,0.772079772,,80.00419134,0.800041913,,
78,80.11363195,0.795542629,0.80113632,0.77381778,,80.11363195,0.80113632,,
79,80.09345142,0.793836352,0.800934514,0.77327585,,80.09345142,0.800934514,,
80,80.10587021,0.794705809,0.801058702,0.773651109,,80.10587021,0.801058702,,
81,80.09034672,0.794268924,0.800903467,0.774028238,,80.09034672,0.800903467,,
82,80.11906518,0.795398963,0.801190652,0.774300961,,80.11906518,0.801190652,,
83,80.16020243,0.795432924,0.801602024,0.774846727,,80.16020243,0.801602024,,
84,80.17417357,0.797797481,0.801741736,0.77541527,,80.17417357,0.801741736,,
85,80.13769336,0.794430585,0.801376934,0.774351758,,80.13769336,0.801376934,,
86,80.2401484,0.796793956,0.802401484,0.775575517,,80.2401484,0.802401484,,
87,80.17572592,0.795980674,0.801757259,0.775266245,,80.17572592,0.801757259,,
88,80.22152022,0.796966795,0.802215202,0.77520273,,80.22152022,0.802215202,,
89,80.25800042,0.796151456,0.802580004,0.775155231,,80.25800042,0.802580004,,
90,80.22152022,0.796398956,0.802215202,0.775236417,,80.22152022,0.802215202,,
91,80.22695344,0.797051919,0.802269534,0.774877181,,80.22695344,0.802269534,,
92,80.24868632,0.798514999,0.802486863,0.775135542,,80.24868632,0.802486863,,
93,80.27352391,0.797510504,0.802735239,0.775500198,,80.27352391,0.802735239,,
94,80.28982358,0.797358713,0.802898236,0.775867319,,80.28982358,0.802898236,,
95,80.26731451,0.796842967,0.802673145,0.775365027,,80.26731451,0.802673145,,
96,80.28671888,0.796967489,0.802867189,0.775719497,,80.28671888,0.802867189,,
97,80.30612324,0.798655926,0.803061232,0.775577075,,80.30612324,0.803061232,,
98,80.26110512,0.797617079,0.802611051,0.775308536,,80.26110512,0.802611051,,
99,80.36588868,0.802055948,0.803658887,0.776680831,,80.36588868,0.803658887,,
100,80.35812694,0.799613362,0.803581269,0.775838075,,80.35812694,0.803581269,,
